,logFC,AveExpr,t,P.Value,adj.P.Val,B
AT5G37260,3.04808673781839,6.96460853569716,24.1549982836733,1.19334103485244e-16,2.51556290146894e-12,26.6226280630641
AT3G02990,1.64848851880283,3.30459650203434,13.6053340916954,8.5739765572146e-12,9.03697129130419e-08,16.0062155845612
AT2G29500,-5.03422239427133,5.52580216029024,-12.0621196803196,7.93758566977999e-11,5.57747686396541e-07,14.645646144847
AT3G24520,1.87157410671207,5.88296519834341,11.7100032393482,1.36000833433129e-10,7.16724392192588e-07,14.3855452517146
AT3G46230,-6.70686475839865,4.54449435151341,-11.1899099588497,3.08158135842947e-10,1.29919470071386e-06,12.5195327027837
AT5G65630,1.04689034284407,7.55377544084635,10.6575905139159,7.32926981170584e-10,2.57501679384598e-06,12.8025593449932
AT3G24100,-1.27591561531676,5.98829525608888,-10.2371870461096,1.48511834889237e-09,4.02163309884868e-06,12.1093944309095
AT1G53540,-7.18475833013036,4.31696506544236,-10.160183006631,1.69386598856932e-09,4.02163309884868e-06,10.8647336304378
AT4G21320,-2.86414529571902,4.70513617619913,-10.1522578405516,1.71701602892022e-09,4.02163309884868e-06,11.8254991507234
AT5G48570,-4.00781944852684,6.42234124022337,-10.0366243130429,2.09483217431911e-09,4.41590622346469e-06,11.7523248117719
AT5G52882,0.878655457389262,7.64962096677825,9.82872238555755,3.00711558806974e-09,5.39881065977538e-06,11.4301007708529
AT5G02810,-4.88722838332241,3.41933572364605,-9.81629001489224,3.07332675129528e-09,5.39881065977538e-06,10.4309080766173
AT1G09140,-1.24692803319114,7.02705198377674,-9.49609483277747,5.4197861150448e-09,8.78839163885725e-06,10.854554849605
AT4G24780,1.92888453903518,6.97956802497608,9.38092698912251,6.6667882626136e-09,1.00382783268496e-05,10.6519217192756
AT5G59570,1.53152759707047,3.00574121141622,9.33068937533897,7.30076934587707e-09,1.02600145207392e-05,10.1463915103234
AT4G11880,2.74366277210706,2.91935675773326,9.18328906910717,9.54785421869972e-09,1.24573856879414e-05,9.78198659987873
AT4G25500,1.05176758959509,6.14373755665358,9.15550325110003,1.00462787805979e-08,1.24573856879414e-05,10.2508384201436
AT1G22770,-3.58828434880197,3.9530358567107,-9.09040436024607,1.13225945530215e-08,1.32600162876497e-05,9.95865247489604
AT1G31230,1.15744696335706,6.11499642896301,8.72153544023231,2.25244926943794e-08,2.49903318946062e-05,9.45967186549011
AT2G27820,-0.870911817340281,5.73580806042111,-8.68072414752556,2.43314589790333e-08,2.56453577639011e-05,9.38569323442096
AT5G36890,1.2247583128322,4.60535436523147,8.61795894837795,2.7408896831741e-08,2.75133116768143e-05,9.25502933422583
AT5G08100,1.01612905244119,5.0387969772882,8.58180294601968,2.93621257453167e-08,2.81342550323308e-05,9.20094937633237
AT5G12020,-8.25511866634046,3.02859072291046,-8.51027440741024,3.36626941543785e-08,3.08525909901869e-05,6.99393105140744
AT3G54600,2.27253509446001,6.22312704299717,8.45791741424929,3.72206000587767e-08,3.26920937182922e-05,8.96941898994691
AT4G30650,1.30980742613564,3.95757430596134,8.37528988359974,4.36477856536574e-08,3.52123504299555e-05,8.78000962024146
AT5G23010,2.80177772582197,5.76916490521909,8.36986128458203,4.41083538955363e-08,3.52123504299555e-05,8.80730679704483
AT4G38130,0.62170988246247,7.1245025301824,8.35835567806214,4.51012078562049e-08,3.52123504299555e-05,8.77295048517493
AT5G64170,-2.86718457519113,5.41520124127672,-8.33394210924581,4.72852989456635e-08,3.55990750633781e-05,8.73771725946536
AT2G03090,2.99853117656445,5.62589068290721,8.20452487845246,6.08370628530769e-08,4.42222512049262e-05,8.4946328919061
AT5G12280,2.60423925312781,0.834230751232076,8.14536012588186,6.83158269024865e-08,4.80032543701472e-05,6.95164865607728
